tanggal_tweet;User;Isi_tweet;Sentiment
06/01/2021 17:57;Asep Kosasih;Sekejam  kejamnya Ibu Tiri masih lebih kejam Ibukota.;netral
06/01/2021 17:57;Safar🏴;TERUNGKAP!! Sosok Gelandangan yang Ditemui Risma saat Blusukan  ;netral
06/01/2021 17:57;Tukang Kebun Tetap Oposisi;"Dibongkar Netizen, Pemulung yang Ditemui Risma Disebut Orang PDIP dan Jualan Poster Soekarno

OMG terciduk🤭�

https://t.c";netral
06/01/2021 17:57;Djrudy68;gak usah ngaku2 arek Suroboyo, lek awakmu gawe gue,gak pinter blas.Awakmu tak kandani yo, tol waru iku nang Sidoarjo. Ya wis pasti Bu Risma gak tau nyambangi sidoarjo, wong sidoarjo iku ono bupati dewe.;netral
06/01/2021 17:57;Andri Prasetyowati Y;Mengungkap Gelandangan yang Ditemui Risma saat Blusukan ;netral
06/01/2021 17:57;Tukang Kebun Tetap Oposisi;Netijen Indonesia emang ga ada lawan;netral
06/01/2021 17:57;sLamBali Bagus;Yang tidak ikutan menyundul Hastag ini, ane doain nanti bisa ketemu dengan Risma di Thamrin. LC Gaes.;netral
06/01/2021 17:56;Bram;Akan ada epesode lanjutan.;netral
06/01/2021 17:56;Aprianto;Anies Minta Sosok Tunawisma yang Ditemui Risma Dicek, Apa Kata Kemensos ;netral
06/01/2021 17:56;𝐑𝐢𝐧𝐫𝐚𝐝𝐚;Blusukan Bu Risma sdh ketahuan kl di Jakaa cuma cari perhatian dan sensasi belagak bekerja utk cari sensasi berita saja;netral
06/01/2021 17:56;Pandir Kelana;Tidak Mau Dibikin Goblog dan Dibodohi Dengan Drama Blusukan Gelandangan, Netizen Lakukan  Investigasi, Hasilnya Drama Terse;netral
06/01/2021 17:56;REVOLUSI MENTAL;Geger Drama Gelandangan Terungkap, Netizen Samakan Kasus Ratna Sarumpaet dengan Kasus Drama Gelandangan Risma Yang Mengandun;netral
06/01/2021 17:56;2Legit2Quit;Keliatan Niih Pak Wagub Ngga pernah Turun ke Jalan yaa. Makanya Turun donk boss biar tau ada Tunawisma ngga di jalan Protok;netral
06/01/2021 17:56;EDDY BRANTA SENA;Blusukan Mensos Risma di Jakaa Patut Ditiru ;netral
06/01/2021 17:56;Mblakrak Adventure;Lucu sangat lucu drama Mensos sosok gelandangan yg ditemui Risma saat blusukan, anak buah AniesBaswedan bongkar sosok gela;netral
06/01/2021 17:56;Rangga;"Akunt Akunt Kadrun kepanasan bu Risma ke Jakaa, 
";netral
06/01/2021 17:56;Penyair Typo;Sekejam  kejamnya Ibu Tiri masih lebih kejam Ibukota. ;netral
06/01/2021 17:56;Diloch;Curiga Aksi Blusukan Risma, Warganet Minta CCTV DKI Dibuka;netral
06/01/2021 17:55;Bukan Koruptor 🏴;Wadawww.;netral
06/01/2021 17:55;Rudjact Asheenant;Bila benar tuna wisma yang ditemui Mensos Risma cuma pemeran peunjukkan sandiwara, Ibu Risma berutang penjelasan pad;netral
06/01/2021 17:55;zulham irfani;"Jika Benar Temui Tuna Wisma Dadakan, Lebih Terhormat Risma Mundur dari Mensos

";netral
06/01/2021 17:55;raja;Sebagai Arek Suroboyo Gue sangat malu dengan kerakusan Bu Risma terhadap jabatan ketika menjadi Menteri Sosial. Mulai d;netral
06/01/2021 17:55;Qboy;Bila benar tuna wisma yang ditemui Mensos Risma cuma pemeran peunjukkan sandiwara, Ibu Risma berutang penjelasan pad;netral
06/01/2021 17:55;Fadli Umar Zulkarnain;"Warga Surabaya Banyak di Kolong Jembatan

ibukota Kumuh,dibongkar Bu Risma kalian kebakaran jenggot 
";positif
06/01/2021 17:55;Diloch;Minta Risma Bedakan Jadi Mensos dan Wali Kota ;netral
06/01/2021 17:55;LAKSAMANA CHENG HO;stafnya bu Risma harus kasi tau beliau beda jadi walikota dan Menteri.  Perbedaan tidak saja pada filosofi, skala, juga m;netral
06/01/2021 17:55;ki. 🦋;cancel the academic yearrrr bro no one is getting anything done no one is okay;positif
06/01/2021 17:55;D Shavalldam;" Sekejam  kejamnya Ibu Tiri masih lebih kejam Ibukota. 

";netral
06/01/2021 17:55;Muhammad Reynaldi;Demi apa sih bu risma;netral
06/01/2021 17:55;broken aquarius;seng nggae hastag ngene iki gaero bu risma yoopo, kinerja e nang suroboyo yoopo. perjuangane nang suroboyo iso nutup doll;netral
06/01/2021 17:55;Katak Pembina 走れ包;Setuju... sebagai Menteri Sosial yg baru ditunjuk, Risma mustinya membongkar habis kasus korupsi Bantuan Sosial, konon lebi;netral
06/01/2021 17:54;LAKSAMANA CHENG HO;Bila benar tuna wisma yang ditemui Mensos Risma cuma pemeran peunjukkan sandiwara, Ibu Risma berutang penjelasan pad;netral
06/01/2021 17:54;Muha Muri;Memang kebiasaan kerjanya Tri Risma begitu sejak jadi walikota. Itu bagus. Tapi kalo jadi menteri, jangan blusukan lagi. Gak mungkin blusukan di seluruh kota di Indonesia, terlalu luas.;netral
06/01/2021 17:54;Tito;Bila benar tuna wisma yang ditemui Mensos Risma cuma pemeran peunjukkan sandiwara, Ibu Risma berutang penjelasan pad;netral
06/01/2021 17:54;muh suriyanto;"Keliatan Niih Pak Wagub Ngga pernah Turun ke Jalan yaa.
Makanya Turun donk boss biar tau ada Tunawisma ngga di jalan Protok";netral
06/01/2021 17:54;Youknow;Gelandangan yang Ditemui Risma jadi Buronan Anies Baswedan ;netral
06/01/2021 17:54;ki. 🦋;Your new life will cost you your old one. (be woh it).;positif
06/01/2021 17:54;MuadzinLanggar;Saya tiap hari melewati jalan SudirmanThamrin pergi dan pulang, tidak pernah melihat ada gelandangan. Sangat aneh tiba2 Men;netral
06/01/2021 17:54;Tioaf;Aktor Terbaik Tahun 2021 adalah eng ing eng Bu risma silahkan Tepuk jidat;netral
06/01/2021 17:54;Tiffany;Rkelly had taken over;netral
06/01/2021 17:54;ki. 🦋;I think money fixes more problems than we d like to admit;positif
06/01/2021 17:54;Danimas;Warga Surabaya Banyak di Kolong Jembatan. ibukota Kumuh,dibongkar Bu Risma kalian kebakaran jenggot ;positif
06/01/2021 17:54;Oma Edelweiss;Minta Dinsos Cek Identitas Pengemis yang Ditemukan Mensos Risma di SudirmanThamrin ;netral
06/01/2021 17:54;nd.mendez;Mengungkap Sosok Gelandangan yang Ditemui Risma saat Blusukan ;netral
06/01/2021 17:54;Kotak R2 🎮;Lagian masih ada aja yang percaya, heran ;netral
06/01/2021 17:54;jaya xena;Ternyata itu drama Bu Risma ;netral
06/01/2021 17:53;Pakpuhharry;Bu Risma, saya usul, ibu buat kebijakan, perintahkan jajaran ibu di seluruh Indonesia, bekerjasama dengan instansi terka;netral
06/01/2021 17:53;Alfathar @AntiBangsatBangsa;Netizen Bongkar Drama Blusukan Mensos Risma di SudirmanMH Thamrin;netral
06/01/2021 17:53;nd.mendez;Kemiskinian Itu Bukan Di Jakaa, Tapi di Daerah Terpencil Sana ;netral
06/01/2021 17:53;Umar Hadi 69;Jangan sama kan Bu Risma sama anies,Bu Risma kader Banteng sejati,mana kader partai mu yg berprestasi ?;netral
06/01/2021 17:53;Suto Pawiro;NTT menempati provinsi dg kasus gizi buruk tertinggi di Indonesia. Yang setuju Bu Risma blusukan di pulau komodo mana suarany;netral
06/01/2021 17:53;Ferry3maldini;Tolong yah Bu Risma dan konco2 nya lebih pintar lagi kalau mau cari simpati. Semua orng juga tau jln Sudirman  Th;netral
06/01/2021 17:53;Bobby Ibrahim;Jika Benar Temui Tuna Wisma Dadakan, Lebih Terhormat Risma Mundur dari Mensos;netral
06/01/2021 17:53;wiiiii;Bila benar tuna wisma yang ditemui Mensos Risma cuma pemeran pertunjukkan sandiwara, Ibu Risma berutang penjelasan pad;netral
06/01/2021 17:53;Thes;175 KK Tinggal di Kolong Tol WaruTanjung Perak Surabaya, Mengaku Tak Pernah Didatangi Risma. Waduh ;netral
06/01/2021 17:53;Katak Pembina 走れ包;Bila benar tuna wisma yang ditemui Mensos Risma cuma pemeran pertunjukkan sandiwara, Ibu Risma berutang penjelasan pad;netral
06/01/2021 17:52;KEADILAN;JOKOWI dikenal karena gorong. ANIES dikenal karena prestasi. NOVANTO dikenal karena tiang listrik.  PUAN dikenal kar;netral
06/01/2021 17:52;Katak Pembina 走れ包;Dibongkar Netizen, Pemulung yang Ditemui Risma Disebut Orang PDIP dan Jualan Poster Soekarno;netral
06/01/2021 17:52;Hadi S Prawitadisastra 🙏🙏; Aksi Blusukan Mensos Risma Jadi Bahan Ejekan, Anggota Dewan Ini Bilang Risma Norak: Jangan Lebay Deh;netral
06/01/2021 17:52;sLamBali Bagus;Anies Minta Dinsos Cek Identitas Pengemis yang Ditemukan Mensos Risma saat Blusukan;netral
06/01/2021 17:52;Yusdarli Fighter;Aktor Terbaik Tahun 2021 adalah eng ing eng Bu risma silahkan Tepuk jidat ;netral
06/01/2021 17:52;Katak Pembina 走れ包;TERUNGKAP! Sosok Gelandangan yang Ditemui Risma saat Blusukan  ;netral
06/01/2021 17:52;Pandir Kelana;Mengungkap Gelandangan yang Ditemui Risma saat Blusukan;netral
06/01/2021 17:52;YA;siapa yg visioner dan paling bagus cara kerjanya?;netral
06/01/2021 17:52;Victor Tian;"Ibu Risma itu kerja nya nyata.Lah ini si Fadli kerja tidak nonton bokep iya� dia digaji oleh rakyat, kita rakyat sudah sepatutnya kita tidak butuh orang seperti Fadli ini yg membuat katakata diatas, otak dibawahnya�SUNGGUH FADLI ""ORANG SAKIT"" juga TIDAK BERBOBOT.";netral
